['video', 'enonce', 'age', 'sexe', 'nationalité', 'langue maternelle', "niveau d'études", 'Exces (0/1/2)', 'Total']
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', 'je suis pas ennemis du colloque', None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '2', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '1', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', 'mais', None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', 'me direz-vous si nous parlons pour ne rien dire de quoi allons-nous parler', None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', "et ben de rien et de rien car rien c'est pas rien", None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '2', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '1', None]
